2025-11-25 11:44:28 | WARNING  | app | Usuario: Patricio (ID:2, Rol:coordinador) | IP: 172.16.57.49 | PID: 22920 | Thread: 14884 | Acción: ERROR_404 | Página no encontrada: http://192.168.40.172:5050/favicon.ico
2025-11-25 11:44:37 | WARNING  | app | Usuario: Patricio (ID:2, Rol:coordinador) | IP: 172.16.57.49 | PID: 22920 | Thread: 12164 | Acción: ERROR_404 | Página no encontrada: http://192.168.40.172:5050/favicon.ico
2025-11-25 11:50:42 | INFO     | app | Usuario: SISTEMA (ID:N/A, Rol:SISTEMA) | IP: N/A | PID: 21648 | Thread: 21856 | Acción: APLICACION_INICIADA | Sistema de Gestión de Horarios - ISTT iniciado en Windows
2025-11-25 11:50:42 | INFO     | app | Usuario: SISTEMA (ID:N/A, Rol:SISTEMA) | IP: N/A | PID: 21648 | Thread: 21856 | Acción: INICIO_BD | Iniciando base de datos del sistema
2025-11-25 11:50:42 | INFO     | app | Usuario: SISTEMA (ID:N/A, Rol:SISTEMA) | IP: N/A | PID: 21648 | Thread: 21856 | Acción: BD_INICIALIZADA | Base de datos inicializada correctamente
2025-11-25 11:50:42 | INFO     | app | Usuario: SISTEMA (ID:N/A, Rol:SISTEMA) | IP: N/A | PID: 5828 | Thread: 26404 | Acción: APLICACION_INICIADA | Sistema de Gestión de Horarios - ISTT iniciado en Windows
2025-11-25 11:50:42 | INFO     | app | Usuario: SISTEMA (ID:N/A, Rol:SISTEMA) | IP: N/A | PID: 5828 | Thread: 26404 | Acción: INICIO_BD | Iniciando base de datos del sistema
2025-11-25 11:50:42 | INFO     | app | Usuario: SISTEMA (ID:N/A, Rol:SISTEMA) | IP: N/A | PID: 5828 | Thread: 26404 | Acción: BD_INICIALIZADA | Base de datos inicializada correctamente
2025-11-25 11:51:02 | INFO     | app | Usuario: Patricio (ID:2, Rol:coordinador) | IP: 172.16.57.49 | PID: 5828 | Thread: 15740 | Acción: ACCESO_DASHBOARD | Acceso al dashboard (coordinador)
2025-11-25 11:51:12 | WARNING  | app | Usuario: Patricio (ID:2, Rol:coordinador) | IP: 172.16.57.49 | PID: 5828 | Thread: 11612 | Acción: ERROR_404 | Página no encontrada: http://192.168.40.172:5050/favicon.ico
2025-11-25 11:56:32 | WARNING  | app | Usuario: Patricio (ID:2, Rol:coordinador) | IP: 172.16.57.49 | PID: 5828 | Thread: 5000 | Acción: ERROR_404 | Página no encontrada: http://192.168.40.172:5050/favicon.ico
2025-11-25 11:57:12 | INFO     | app | Usuario: rectorado (ID:3, Rol:rectorado) | IP: 172.16.57.49 | PID: 5828 | Thread: 24704 | Acción: ACCESO_DASHBOARD | Acceso al dashboard (rectorado)
